"%d events has been successfully updated","%d events has been successfully updated"
"%d tickets has been successfully updated","%d tickets has been successfully updated"
"Send Message","Send Message"
"Send Reminder Message Before, days","Send Reminder Message Before, days"
"Sort Order","Sort Order"
"Starts:","Starts:"
"Status","Status"
"Success","Success"
"Summary","Summary"
"Terms","Terms"
"Terms & Conditions","Terms & Conditions"
"Ticket Code","Ticket Code"
"Ticket Details","Ticket Details"
"Ticket Holder","Ticket Holder"
"Ticket Options","Ticket Options"
"Ticket Price","Ticket Price"
"Ticket Status","Ticket Status"
"Ticket Type","Ticket Type"
"Ticket Types","Ticket Types"
"Ticket View","Ticket View"
"Ticket already redeemed","Ticket already redeemed"
"Ticket does not exist","Ticket does not exist"
"Ticket not found","Ticket not found"
"Ticket not paid","Ticket not paid"
"Tickets List","Tickets List"
"Tickets were not updated","Tickets were not updated"
"Title","Title"
"Today","Today"
"Total","Total"
"Total Tickets","Total Tickets"
"Unable duplicate Event Booking section","Unable duplicate Event Booking section"
"Undo Redeem","Undo Redeem"
"Unpaid","Unpaid"
"Use Default Value","Use Default Value"
"Used","Used"
"Valid","Valid"
"Wrong customer ID","Wrong customer ID"
"XML","XML"
"You have not permission","You have not permission"
"You have placed no orders.","You have placed no orders."
"refund","refund"
"undo","undo"
"Sorry, you are not allowed to redeem tickets for this event.","Sorry, you are not allowed to redeem tickets for this event."
"Allow buy tickets if event already started","Allow buy tickets if event already started"
"Event %s already ended","Event %s already ended"
"Event Requires Ticket Personalization","Event Requires Ticket Personalization"
"Email Template For Sending A Copy To A Ticket Holder","Email Template For Sending A Copy To A Ticket Holder"
"Continue","Continue"
"Please specify ticket holder informations for each ticket","Please specify ticket holder informations for each ticket"
"Name","Name"
"Email","Email"
"Available Qty:","Available Qty:"
"Holder","Holder"
"Quantity of this product can not be changed, use the ""Edit"" option instead.","Quantity of this product can not be changed, use the ""Edit"" option instead."
"General","General"
"Settings","Settings"
"Enabled","Enabled"
"Disabled","Disabled"
"Order","Order"
"Email Template for Confirmation Message","Email Template for Confirmation Message"
"Display Email Field","Display Email Field"
